0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,926.227625163827,377.7050261373424,726.7556889177885,633.9320796609915,560.9768291368249,475.66291712341933,583.1276257318607,411.92607431524635,966.8297976105528,576.8215469316988,546.5832337551169,474.592953037009,772.7228670827662,440.43727162730397,421.36167724947944,653.1681289188573,420.16438837148024,586.4601884624719,645.758187804739,547.9697179039897,1353.1416592699961,499.13197718192964,1569.9336351256297,581.7085277824109,1691.3320800964395,530.567270250761,1023.4529782521,628.6886085264111,966.828931503135,504.4681802289633,1002.2926969644808,585.5966990594957,1561.7054740560366,472.44777635114895,1326.513054310848,458.1542042639651,980.7062589740046,501.5151287541448,1081.5533603467602,452.4465034525671
,,926.1430154612568,377.75376810829323,726.6984667724624,633.8639875056159,561.2643626114177,475.6724955793281,583.1262973073419,411.9880992686403,966.6887859084009,576.7869664246225,546.6793792317619,474.60656053986116,772.6170946362938,440.4743497853307,421.4316790715868,653.1922534239395,420.08537719672296,586.4226598319773,645.4317488823533,547.920734600058,1352.7976437128186,499.07628159023386,1569.5831511531746,581.5240879917628,1691.2896156711058,530.7461617951792,1023.3436446734431,628.6098604831363,966.7670750925134,504.44761705800073,1002.5062524869525,585.5081054455702,1561.4080593567523,472.4645361071475,1326.3008701033682,458.1988383182918,980.5021708059719,501.3567796835998,1081.2996723349283,452.30112363157673
,,926.0335768173179,377.647285038348,726.4769844351907,633.8265959525154,561.2796000990509,475.60245131594525,582.8579753073296,411.9234516222882,966.5539948117157,576.740513528099,546.4846264534851,474.53848678359157,772.3764240660234,440.40043582878394,421.1332348588695,653.25424243167,419.60858442492855,586.3817633858232,644.7140114989952,547.8408067420457,1352.76783958628,498.9491478149701,1569.6508294453847,581.3225515452631,1691.736989833758,530.8628522663716,1023.2817253122946,628.5559469134424,966.7105419023819,504.3630629762355,1002.7542808051942,585.4135493909532,1561.5333360040927,472.38967993732615,1326.348387500037,458.14238722719733,980.3003297358002,501.133826092715,1081.1397759332986,452.03907933593666
,,925.9361960844235,377.55746624601596,726.2733442200372,633.8043852889863,561.3171386530453,475.55112733176145,582.6099446979886,411.8781561386745,966.436568826122,576.7085599177058,546.3131128715906,474.49064947084116,772.1443176851164,440.34340651992545,420.8719085680021,653.3303589899849,419.163886279675,586.3569197038062,643.9886824691459,547.7762215973428,1352.7461622128862,498.8339612846596,1569.7178580245454,581.1286180057779,1692.1751679658068,530.9774688246994,1023.2358502350767,628.5163279360972,966.6698245744379,504.2921559070712,1003.0137476424496,585.3336907445498,1561.675426951437,472.32507004431443,1326.4058948383183,458.0972306566624,980.1077410651674,500.92640269711353,1081.0039306275696,451.7746472720771
,,925.8251208287817,377.4765876229909,726.0610225743222,633.7657437986683,561.3029474191155,475.5058509176224,582.3602612254233,411.83936199748223,966.303350427329,576.6799716875058,546.1408225090502,474.4472835581829,771.9026995955976,440.29018202265695,420.61555830704555,653.3989448824092,418.70057931562354,586.3314759300769,643.2548340708017,547.7136730029031,1352.693543436335,498.7262957652557,1569.7392588259752,580.9394945594702,1692.555562417943,531.0912572648581,1023.1724078293557,628.4788516981503,966.6134335605966,504.22665778801456,1003.2586375324806,585.2569676194864,1561.7757536980453,472.27072632658695,1326.4345721416066,458.06021881822767,979.8991810664788,500.7260342757346,1080.8548809702766,451.5033623800109
,,925.7001483661913,377.38290216993187,725.8347135413652,633.7001932228254,561.0893034499466,475.44525636469336,582.0999434906796,411.78689314609363,966.1531635244556,576.6375099086031,545.9572037634762,474.39028946157214,771.6473944151785,440.2227308053507,420.36293576805747,653.4501053330885,418.25765430578736,586.292022439457,642.5149456778271,547.6334020849174,1352.6186526238794,498.6075018225178,1569.7318987241647,580.7363208204102,1692.9075445145158,531.1854158276345,1023.0945050119708,628.4278441862024,966.5476269920133,504.14723158431684,1003.4799507533423,585.1668621780411,1561.8540754620208,472.20678302839826,1326.4456096229824,458.0121453250339,979.6794197024967,500.51354589228197,1080.720451627186,451.20228065704345
,,925.5982877037554,377.34419032274195,725.625178929103,633.6948110183434,560.9096564208688,475.44067034857005,581.8574835806893,411.7882248743347,966.0256570518279,576.6551156276902,545.7898991587745,474.3882290781869,771.4114139278158,440.2081639213578,420.1243785703539,653.5539909464297,417.7955337331505,586.3083075758632,641.7878111834427,547.6097886047285,1352.574342040013,498.5497642151289,1569.7569486768073,580.5977040467467,1693.5268755302386,531.3358866356597,1023.0405866893004,628.4388299288569,966.5052266966968,504.12593510867146,1003.7269157216585,585.1372025813002,1561.9673476475762,472.20576618087944,1326.4876280345616,458.02341658498324,979.4831947363839,500.3605836021822,1080.615909527743,450.94570142626094
,,925.5052311799234,377.3022457402195,725.4258200727736,633.6912180722611,560.7929397385943,475.43612403860834,581.6217290759827,411.794866609582,965.914945045652,576.6651047803049,545.6430614233641,474.39761885237743,771.185204372284,440.1931955098137,419.930036182758,653.6642596648942,417.44376304187244,586.3270662619129,641.1611427078791,547.5842668250604,1352.538745083002,498.4805926836452,1569.7787635043078,580.4608536557071,1694.30911545851,531.4562415481265,1022.9992294812723,628.4452348954351,966.4709868655852,504.0998408371115,1003.9731774547485,585.1045732990611,1562.0936498335748,472.18745937160094,1326.6244520528337,458.02634663568733,979.2993952524871,500.20796832936526,1080.593100500212,450.64921320192724
,,925.418368298296,377.2207660117316,725.2182576897958,633.6538470997895,560.6780868627052,475.3866702465567,581.3784163032526,411.7541006473533,965.807003883375,576.6450337455332,545.4850789375639,474.36120047415784,770.9575219254152,440.13497899067113,419.7166891491223,653.7280153923832,417.0614475898957,586.3006720114352,640.5184761286426,547.518242084214,1352.5218331565686,498.3882633660646,1569.8246200104222,580.3095290478934,1695.1229281659303,531.5546068323963,1022.9618410905277,628.4251058951118,966.4412786223752,504.0406197582598,1004.2251815584219,585.0429784369007,1562.2495206544452,472.1507160757777,1326.8642618335145,458.0030331058281,979.1193985498522,500.0237365261982,1080.5813830984994,450.3095335255946
,,925.3380298855907,377.13727088782815,725.0124064968159,633.6143010909439,560.5842466279049,475.3349180216203,581.1394980993266,411.7130896868315,965.7095028501956,576.6170762903737,545.3370133491285,474.32755144934515,770.7442634340724,440.07579958285584,419.53232928309757,653.7909445761414,416.76953862202026,586.2694711948886,639.9054615472897,547.4455964677538,1352.5128019026602,498.2897808380027,1569.8710592086934,580.158106844752,1695.9433219293464,531.6330214395607,1022.9325179921536,628.4021003754242,966.4113361358027,503.9721340069953,1004.4593936037755,584.9752729394941,1562.421219800733,472.1016508059121,1327.1613867326228,458.01402602516646,978.9345235846557,499.84213342702105,1080.5859789101091,449.95861886901423
